,source,target,rating,ts,time
0,5,1,4,1289241911,1074
1,5,4,2,1289241941,1074
2,0,11,1,1289243140,1074
3,3,2,7,1289245277,1074
4,10,12,8,1289254254,1074
5,10,9,8,1289254300,1074
6,6,4,1,1289362700,1074
7,1,16,5,1289370556,1074
8,1,15,5,1289370622,1074
9,16,1,5,1289380981,1074
10,16,0,8,1289441411,1074
11,16,9,8,1289441438,1074
12,16,7,9,1289441450,1074
13,16,2,7,1289441525,1074
14,13,2,5,-2147483648,1074
15,13,17,1,1289489668,1074
16,9,0,8,1289555656,1074
17,9,5,7,1289555731,1074
18,9,16,8,1289555745,1074
19,9,7,1,1289555767,1074
20,9,18,10,1289555841,1074
21,9,1,7,-2147483648,1074
22,9,2,7,1289555875,1074
23,3,19,1,1289641693,1074
24,19,3,1,1289641703,1074
25,4,0,3,1289660298,1074
26,4,5,3,-2147483648,1074
27,4,6,1,1289660347,1074
28,0,4,4,1289710643,1074
29,5,3,2,1289770700,1074
30,3,5,5,1289770756,1074
31,1,3,5,1289771303,1074
32,13,20,1,1289836081,1074
33,13,10,2,1289873367,1074
34,10,13,2,1289873611,1074
35,10,21,2,1290088212,1075
36,21,10,2,1290090118,1075
37,13,15,2,1290108486,1075
38,3,22,1,1290197549,1075
39,22,3,2,1290197554,1075
40,23,5,1,1290300441,1075
41,10,0,8,1290520563,1075
42,6,25,1,1290644457,1075
43,25,6,1,1290644477,1075
44,23,0,1,1290666928,1075
45,0,23,1,1290666953,1075
46,0,25,1,-2147483648,1075
47,25,0,1,1290752776,1075
48,25,10,1,1290758643,1075
49,10,25,1,1290761556,1075
50,5,6,5,1290826367,1075
51,6,5,3,1290826591,1075
52,0,13,9,1290969236,1075
53,0,22,2,1291052764,1075
54,22,0,3,1291055972,1075
55,26,5,2,1291056174,1075
56,0,10,3,1291090930,1075
57,27,28,1,1291157823,1075
58,28,27,1,1291159845,1075
59,26,0,1,1291159911,1075
60,13,0,9,1291217882,1076
61,7,0,3,1291315232,1076
62,6,21,2,1291376109,1076
63,0,15,2,1291505266,1076
64,28,31,1,1291515528,1076
65,31,28,1,1291515697,1076
66,29,32,1,1291578872,1076
67,29,6,3,1291590274,1076
68,29,31,1,1291591178,1076
69,31,29,1,1291591211,1076
70,17,13,1,1291623781,1076
71,17,14,1,1291623787,1076
72,27,33,1,1291684579,1076
73,33,27,1,1291684612,1076
74,34,0,2,1291740270,1076
75,10,6,1,1291757016,1076
76,6,10,1,1291757031,1076
77,21,35,1,-2147483648,1076
78,35,21,1,1292071378,1076
79,21,36,1,1292085236,1076
80,36,21,1,-2147483648,1076
81,32,29,2,1292099160,1076
82,32,37,2,1292189306,1076
83,37,32,2,1292189412,1076
84,32,38,2,1292193828,1076
85,38,32,2,1292195062,1076
86,0,38,1,1292196392,1076
87,38,0,1,1292196407,1076
88,6,2,6,1292200462,1076
89,27,30,2,-2147483648,1076
90,30,27,2,1292206272,1076
91,27,16,2,1292297572,1076
92,16,27,2,-2147483648,1076
93,6,27,3,1292361185,1076
94,27,6,4,1292361298,1076
95,6,37,4,1292442401,1077
96,37,6,4,1292442432,1077
97,6,39,1,1292447857,1077
98,39,6,1,1292490376,1077
99,21,6,2,1292716197,1077
100,3,41,5,1292795818,1077
101,29,16,2,1292819158,1077
102,16,29,2,1292819328,1077
103,3,43,2,1292823618,1077
104,43,3,3,1292823672,1077
105,43,15,8,1292823684,1077
106,43,1,2,1292823727,1077
107,26,46,1,1292920838,1077
108,46,26,2,1292935948,1077
109,40,0,2,1292957157,1077
110,0,40,2,1292957195,1077
111,3,47,2,-2147483648,1077
112,47,3,2,1293054742,1077
113,16,6,5,1293191604,1077
114,6,15,4,1293409870,1077
115,26,49,1,1293448472,1077
116,26,50,1,1293448479,1077
117,29,49,2,1293453341,1077
118,49,29,2,1293453456,1077
119,49,26,2,1293453463,1077
120,0,51,1,1293481238,1077
121,51,0,8,1293481551,1077
122,6,20,2,1293481688,1077
123,20,6,1,1293482234,1077
124,3,52,4,1293523499,1077
125,0,53,1,-2147483648,1077
126,53,0,1,1293579280,1077
127,30,54,1,1293583961,1077
128,48,45,1,1293603105,1078
129,55,6,1,1293604543,1078
130,6,55,1,1293604590,1078
131,6,14,5,1293632316,1078
132,23,17,1,1293643257,1078
133,17,23,1,1293646340,1078
134,17,15,1,1293661055,1078
135,43,56,4,1293665840,1078
136,0,57,1,1293749573,1078
137,57,0,1,1293749669,1078
138,42,30,1,1293819840,1078
139,30,42,1,1293820339,1078
140,57,42,1,1293831460,1078
141,42,57,1,1293831479,1078
142,41,3,2,-2147483648,1078
143,17,49,1,1293888120,1078
144,49,17,1,1293888137,1078
145,45,48,1,1293930357,1078
146,26,58,1,1293994479,1078
147,58,26,1,1293996991,1078
148,30,3,1,-2147483648,1078
149,3,30,1,1294081177,1078
150,0,48,2,1294083688,1078
151,48,0,2,1294083725,1078
152,49,20,3,1294126590,1078
153,20,49,3,1294152392,1078
154,45,59,1,1294190542,1078
155,13,60,1,-2147483648,1078
156,60,13,1,1294192614,1078
157,49,44,1,1294244410,1078
158,44,49,1,1294249080,1078
159,30,61,1,1294262869,1078
160,30,75,1,1294267264,1078
161,61,30,1,-2147483648,1078
162,30,62,1,1294271217,1078
163,62,30,1,1294274023,1078
164,75,30,1,1294285068,1078
165,3,63,1,1294300030,1078
166,63,3,1,1294300186,1078
167,60,49,2,1294395970,1078
168,49,60,2,1294396076,1078
169,30,65,1,1294426072,1078
170,65,30,1,1294429629,1078
171,42,63,1,1294429932,1078
172,63,42,1,1294429999,1078
173,6,65,2,1294438542,1078
174,65,6,2,1294439193,1078
175,45,67,1,1294546375,1078
176,30,50,1,1294595719,1078
177,67,45,1,1294599138,1078
178,50,68,1,1294600321,1078
179,68,50,3,1294600354,1078
180,50,30,1,1294600355,1078
181,50,26,1,-2147483648,1078
182,29,13,3,1294689381,1078
183,13,29,1,1294689438,1078
184,50,69,1,1294788721,1078
185,69,50,3,1294854693,1079
186,11,70,2,1294919858,1079
187,70,11,2,1294927076,1079
188,49,71,4,1294947596,1079
189,71,49,1,1294953308,1079
190,64,6,3,1294974057,1079
191,0,60,1,1294982042,1079
192,50,11,1,1294996843,1079
193,11,50,1,1295011593,1079
194,60,0,1,1295060559,1079
195,0,73,1,1295163873,1079
196,44,38,2,1295213497,1079
197,38,44,2,1295213513,1079
198,73,0,1,1295219864,1079
199,72,73,1,1295223074,1079
200,73,74,1,1295223955,1079
201,59,18,2,1295282631,1079
202,72,42,2,1295394666,1079
203,29,3,1,-2147483648,1079
204,3,29,1,1295416571,1079
205,30,76,1,1295460035,1079
206,52,3,4,1295507765,1079
207,69,77,1,1295538196,1079
208,77,69,1,-2147483648,1079
209,60,78,2,1295620829,1079
210,78,60,3,1295622238,1079
211,42,79,1,1295647515,1079
212,79,42,1,1295647536,1079
213,70,48,1,1295720115,1079
214,48,70,1,1295720324,1079
