,source,target,ts,idx,time
0,0,1,0,0,0
1,2,3,114878,1,1
2,4,1,373430,2,4
3,5,6,398658,3,4
4,7,6,398795,4,4
5,8,9,399442,5,4
6,8,10,399492,6,4
7,11,12,400227,7,4
8,8,13,400793,8,4
9,8,14,400863,9,4
10,8,15,400934,10,4
11,8,16,401192,11,4
12,8,17,401599,12,4
13,18,17,402062,13,4
14,19,20,403983,14,4
15,18,21,409113,15,4
16,7,22,409282,16,4
17,8,23,409684,17,4
18,8,21,409695,18,4
19,24,20,426128,19,4
20,25,6,440164,20,5
21,26,27,449279,21,5
22,28,24,463122,22,5
23,29,30,476545,23,5
24,31,32,477062,24,5
25,33,34,484569,25,5
26,33,32,484757,26,5
27,35,36,489988,27,5
28,37,38,497888,28,5
29,35,39,498596,29,5
30,40,14,499344,30,5
31,40,10,499393,31,5
32,40,13,499501,32,5
33,40,12,499535,33,5
34,40,38,500481,34,5
35,40,41,533250,35,6
36,40,42,535383,36,6
37,8,39,542739,37,6
38,43,44,544507,38,6
39,45,21,546744,39,6
40,43,45,547261,40,6
41,46,45,547547,41,6
42,47,45,548522,42,6
43,8,48,555594,43,6
44,35,49,556754,44,6
45,43,50,556790,45,6
46,31,51,557095,46,6
47,35,31,557161,47,6
48,52,53,557434,48,6
49,35,54,557584,49,6
50,55,56,557587,50,6
51,35,57,557804,51,6
52,43,58,557959,52,6
53,50,57,557973,53,6
54,43,13,558111,54,6
55,35,55,558415,55,6
56,35,59,558756,56,6
57,55,60,559107,57,6
58,61,49,559448,58,6
59,31,58,560494,59,6
60,40,62,561658,60,6
61,40,63,561707,61,6
62,40,64,561721,62,6
63,40,55,561739,63,6
64,40,60,561800,64,6
65,40,51,561846,65,6
66,40,57,561877,66,6
67,40,58,562107,67,6
68,8,63,562163,68,6
69,8,57,562218,69,6
70,11,65,562258,70,6
71,31,57,562305,71,6
72,66,31,562553,72,6
73,40,31,562610,73,6
74,31,67,562720,74,6
75,67,55,562889,75,6
76,67,60,563057,76,6
77,66,7,563735,77,6
78,68,66,564429,78,6
79,69,50,566206,79,6
80,43,49,566328,80,6
81,70,57,567444,81,6
82,70,71,567520,82,6
83,71,70,568288,83,6
84,72,73,568688,84,6
85,73,72,568758,85,6
86,33,57,569153,86,6
87,43,74,569156,87,6
88,8,75,569378,88,6
89,31,76,570365,89,6
90,40,75,571145,90,6
91,40,77,571161,91,6
92,78,47,571533,92,6
93,78,62,571574,93,6
94,40,79,571657,94,6
95,78,57,571703,95,6
96,40,80,571711,96,6
97,78,69,571986,97,6
98,18,81,572410,98,6
99,18,71,572483,99,6
100,11,31,572505,100,6
101,18,63,572949,101,6
102,18,57,573069,102,6
103,18,51,573427,103,6
104,82,58,573499,104,6
105,50,69,573516,105,6
106,37,57,573870,106,6
107,62,78,575124,107,6
108,66,58,575398,108,6
109,43,83,576705,109,6
110,18,84,577245,110,6
111,2,83,578081,111,6
112,18,7,578235,112,6
113,83,85,578872,113,6
114,82,57,579042,114,6
115,85,47,579270,115,6
116,86,62,579548,116,6
117,35,87,579728,117,6
118,86,7,579989,118,6
119,35,88,580422,119,6
120,89,55,580441,120,6
121,35,89,580498,121,6
122,35,83,580557,122,6
123,90,91,580614,123,6
124,35,92,580799,124,6
125,93,83,581943,125,6
126,68,83,582803,126,6
127,68,94,582834,127,6
128,47,85,584256,128,6
129,83,7,585326,129,6
130,90,80,586261,130,6
131,95,87,586434,131,6
132,7,83,587412,132,6
133,90,46,588612,133,6
134,96,97,589261,134,6
135,97,96,589415,135,6
136,47,96,589559,136,6
137,98,7,589871,137,6
138,96,47,590015,138,6
139,99,100,590232,139,6
140,101,96,590328,140,6
141,96,101,590650,141,6
142,100,99,591012,142,6
143,47,57,591073,143,6
144,102,71,594123,144,6
145,102,57,594484,145,6
146,103,58,596627,146,6
147,104,55,612555,147,7
148,105,71,612722,148,7
149,104,60,613005,149,7
150,104,7,613090,150,7
151,104,32,613542,151,7
152,104,106,613856,152,7
153,104,80,614289,153,7
154,43,101,615110,154,7
155,35,104,618356,155,7
156,35,103,618934,156,7
157,33,107,619218,157,7
158,33,108,619782,158,7
159,35,109,619979,159,7
160,110,111,620592,160,7
161,35,112,621755,161,7
162,35,108,621779,162,7
163,78,108,622546,163,7
164,113,104,622715,164,7
165,100,114,622812,165,7
166,55,89,623614,166,7
167,55,104,623648,167,7
168,55,67,623690,168,7
169,28,57,625009,169,7
170,86,57,625249,170,7
171,43,115,625745,171,7
172,43,116,626319,172,7
173,43,78,626878,173,7
174,79,57,627298,174,7
175,95,31,628469,175,7
176,117,99,629391,176,7
177,118,119,629727,177,7
178,119,118,629814,178,7
179,119,74,629889,179,7
180,118,57,630087,180,7
181,117,119,631035,181,7
182,120,107,631525,182,7
183,71,105,631749,183,7
184,43,91,632570,184,7
185,25,121,632985,185,7
186,0,122,635261,186,7
187,95,123,636485,187,7
188,124,125,636571,188,7
189,35,123,640037,189,7
190,35,126,640667,190,7
191,35,127,640718,191,7
192,43,128,641065,192,7
193,8,119,641371,193,7
194,123,108,643013,194,7
195,123,60,643261,195,7
196,123,71,643463,196,7
197,35,111,644307,197,7
198,123,84,644550,198,7
199,84,123,644664,199,7
200,31,129,644730,200,7
201,71,123,645695,201,7
202,123,7,645952,202,7
203,130,29,646280,203,7
204,98,125,647064,204,7
205,102,62,648081,205,7
206,102,116,648178,206,7
207,68,123,651243,207,7
208,68,78,651254,208,7
209,131,29,651273,209,7
210,35,98,651606,210,7
211,35,132,651651,211,7
212,35,133,651895,212,7
213,35,80,652121,213,7
214,102,134,652619,214,7
215,132,134,652703,215,7
216,134,132,652744,216,7
217,8,108,656511,217,7
218,61,135,658503,218,7
219,136,137,660096,219,7
220,95,136,660295,220,7
221,18,119,660498,221,7
222,43,89,660509,222,7
223,18,138,660942,223,7
224,43,59,661493,224,7
225,43,87,661585,225,7
226,18,110,661718,226,7
227,8,31,661948,227,7
228,37,85,662579,228,7
229,139,104,662616,229,7
230,37,100,663805,230,7
231,102,100,664697,231,7
232,37,60,665772,232,7
233,74,119,665776,233,7
234,37,80,665883,234,7
235,43,140,666025,235,7
236,43,73,666596,236,7
