,source,target,ts,idx,time
0,568,355,0,0,0
1,166,461,2797,1,0
2,166,894,3304,2,0
3,2,772,4523,3,0
4,2,316,7926,4,0
5,42,393,19403,5,0
6,852,331,19560,6,0
7,647,354,21077,7,0
8,647,401,21280,8,0
9,551,537,21793,9,0
10,968,423,21799,10,0
11,647,336,22038,11,0
12,567,135,23175,12,0
13,567,924,23263,13,0
14,959,969,23553,14,0
15,959,411,23553,15,0
16,959,777,23553,16,0
17,959,534,23553,17,0
18,959,833,23553,18,0
19,959,458,23553,19,0
20,959,186,23553,20,0
21,959,599,23553,21,0
22,959,295,23553,22,0
23,959,936,23553,23,0
24,959,799,23553,24,0
25,959,165,23553,25,0
26,959,140,23553,26,0
27,959,539,23553,27,0
28,959,414,23553,28,0
29,959,35,23553,29,0
30,959,205,23553,30,0
31,555,733,23646,31,0
32,172,521,23652,32,0
33,826,668,23712,33,0
34,31,163,23813,34,0
35,419,392,24004,35,0
36,555,844,24076,36,0
37,408,950,24275,37,0
38,289,867,24522,38,0
39,289,253,24522,39,0
40,289,632,24522,40,0
41,289,407,24522,41,0
42,289,307,24522,42,0
43,903,982,24710,43,0
44,157,348,25325,44,0
45,684,182,25424,45,0
46,157,894,25431,46,0
47,929,756,25503,47,0
48,687,753,25597,48,0
49,733,555,25654,49,0
50,697,286,25656,50,0
51,34,135,25811,51,0
52,286,697,25870,52,0
53,937,527,25991,53,0
54,67,337,26225,54,0
55,67,163,26225,55,0
56,531,8,26272,56,0
57,531,142,26402,57,0
58,433,726,26872,58,0
59,433,687,26872,59,0
60,336,157,27094,60,0
61,754,594,27133,61,0
62,924,135,27145,62,0
63,754,444,27176,63,0
64,135,34,27187,64,0
65,555,471,27235,65,0
66,555,933,27235,66,0
67,555,406,27235,67,0
68,754,933,27254,68,0
69,658,112,27343,69,0
70,679,185,27362,70,0
71,918,567,27408,71,0
72,555,288,27492,72,0
73,555,585,27492,73,0
74,555,591,27492,74,0
75,112,262,27598,75,0
76,112,658,27598,76,0
77,915,169,27689,77,0
78,915,576,27689,78,0
79,915,563,27689,79,0
80,915,670,27689,80,0
81,915,947,27689,81,0
82,528,197,27718,82,0
83,844,555,28102,83,0
84,754,75,28137,84,0
85,679,676,28150,85,0
86,157,212,28193,86,0
87,554,483,28260,87,0
88,554,929,28260,88,0
89,554,196,28260,89,0
90,554,477,28260,90,0
91,554,370,28260,91,0
92,418,897,28326,92,0
93,613,24,28393,93,0
94,58,891,28544,94,0
95,337,364,28555,95,0
96,968,854,28632,96,0
97,754,120,28784,97,0
98,627,669,28792,98,0
99,401,647,29181,99,0
100,272,699,29445,100,0
101,354,111,29586,101,0
102,287,490,29670,102,0
103,287,702,29670,103,0
104,287,199,29670,104,0
105,425,488,29693,105,0
106,205,777,29736,106,0
107,205,458,29736,107,0
108,423,32,29824,108,0
109,253,867,29864,109,0
110,253,289,29864,110,0
111,253,307,29864,111,0
112,664,772,29871,112,0
113,613,157,29928,113,0
114,547,615,29929,114,0
115,748,133,29998,115,0
116,924,567,30000,116,0
117,48,938,30009,117,0
118,622,53,30072,118,0
119,558,844,30076,119,0
120,558,32,30076,120,0
121,250,189,30105,121,0
122,105,218,30274,122,0
123,594,754,30276,123,0
124,430,524,30281,124,0
125,641,528,30392,125,0
126,419,444,30463,126,0
127,269,833,30470,127,0
128,273,922,30512,128,0
129,922,273,30668,129,0
130,815,183,30698,130,0
131,190,519,30899,131,0
132,48,551,30932,132,0
133,62,630,30953,133,0
134,894,166,30970,134,0
135,894,461,30970,135,0
136,32,423,30981,136,0
137,90,221,31232,137,0
138,444,134,31258,138,0
139,444,392,31258,139,0
140,444,419,31258,140,0
141,444,286,31258,141,0
142,34,978,31335,142,0
143,688,48,31377,143,0
144,275,872,31461,144,0
145,246,700,31471,145,0
146,669,627,31491,146,0
147,517,613,31576,147,0
148,517,873,31576,148,0
149,205,935,31652,149,0
150,669,528,31721,150,0
151,669,708,31721,151,0
152,669,982,31721,152,0
153,969,262,31773,153,0
154,726,433,31940,154,0
155,704,135,32006,155,0
156,727,841,32126,156,0
157,270,831,32180,157,0
158,270,173,32180,158,0
159,627,372,32305,159,0
160,135,924,32636,160,0
161,107,199,32748,161,0
162,14,810,32901,162,0
163,702,61,32914,163,0
164,14,372,32993,164,0
165,302,408,33058,165,0
166,697,552,33082,166,0
167,676,231,33127,167,0
168,748,841,33315,168,0
169,748,727,33315,169,0
170,812,751,33352,170,0
171,554,644,33375,171,0
172,329,519,33383,172,0
173,561,429,33417,173,0
174,561,77,33417,174,0
175,561,256,33417,175,0
176,561,166,33417,176,0
177,555,459,33424,177,0
178,555,525,33424,178,0
179,555,972,33424,179,0
180,555,327,33424,180,0
181,555,694,33424,181,0
182,555,246,33424,182,0
183,555,677,33424,183,0
184,555,290,33424,184,0
185,555,6,33424,185,0
186,555,400,33424,186,0
187,555,957,33424,187,0
188,555,0,33424,188,0
189,555,226,33424,189,0
190,982,669,33541,190,0
191,836,529,33587,191,0
192,555,490,33645,192,0
193,572,289,33650,193,0
194,613,65,33869,194,0
195,676,751,33938,195,0
196,748,745,34082,196,0
197,65,613,34085,197,0
198,253,407,34128,198,0
199,186,411,34225,199,0
200,186,140,34225,200,0
201,186,555,34225,201,0
202,183,106,34383,202,0
203,163,31,34500,203,0
204,5,107,34566,204,0
205,262,969,34573,205,0
206,894,157,34624,206,0
207,183,229,34713,207,0
208,315,551,35023,208,0
209,286,263,35224,209,0
210,286,392,35224,210,0
211,286,419,35224,211,0
212,169,915,35380,212,0
213,527,355,35388,213,0
214,527,771,35388,214,0
215,527,778,35388,215,0
216,527,229,35388,216,0
217,527,499,35388,217,0
218,527,975,35388,218,0
219,527,242,35388,219,0
220,527,332,35388,220,0
221,527,423,35388,221,0
222,527,353,35388,222,0
223,527,95,35388,223,0
224,527,56,35388,224,0
225,527,818,35388,225,0
226,527,968,35388,226,0
227,527,68,35388,227,0
228,840,684,35420,228,0
229,563,915,35641,229,0
230,72,135,35731,230,0
231,72,567,35731,231,0
232,985,958,35739,232,0
233,909,836,35995,233,0
234,909,805,35995,234,0
235,909,706,35995,235,0
236,909,522,35995,236,0
237,909,630,36092,237,0
238,909,538,36092,238,0
239,909,529,36092,239,0
240,909,360,36092,240,0
241,909,752,36092,241,0
242,909,113,36092,242,0
243,909,501,36092,243,0
244,909,474,36092,244,0
245,909,247,36092,245,0
246,909,434,36092,246,0
247,136,613,36324,247,0
248,303,1,36346,248,0
249,305,527,36473,249,0
250,354,360,36573,250,0
251,676,157,36632,251,0
252,676,328,36632,252,0
253,354,534,36666,253,0
254,354,836,36768,254,0
255,528,171,36838,255,0
256,205,482,36915,256,0
257,841,930,36941,257,0
258,517,482,36963,258,0
259,613,517,37079,259,0
260,958,985,37090,260,0
261,67,944,37139,261,0
262,67,205,37139,262,0
263,841,727,37162,263,0
264,285,748,37243,264,0
265,328,65,37277,265,0
266,328,655,37277,266,0
267,328,671,37277,267,0
268,242,527,37321,268,0
269,61,384,37399,269,0
270,968,771,37417,270,0
271,61,972,37684,271,0
272,61,696,37684,272,0
273,336,647,37845,273,0
274,837,34,37939,274,0
275,837,681,37939,275,0
276,67,640,38045,276,0
277,613,873,38089,277,0
278,482,517,38131,278,0
279,103,932,38249,279,0
280,103,502,38249,280,0
281,103,297,38249,281,0
282,676,608,38285,282,0
283,487,826,38287,283,0
284,702,886,38297,284,0
285,326,312,38315,285,0
286,726,671,38452,286,0
287,668,48,38549,287,0
288,668,551,38549,288,0
289,668,900,38549,289,0
290,668,312,38549,290,0
291,668,663,38549,291,0
292,668,688,38549,292,0
293,668,315,38549,293,0
294,668,826,38549,294,0
295,101,583,38609,295,0
296,183,897,38708,296,0
297,62,157,38710,297,0
298,702,961,38779,298,0
299,458,205,38849,299,0
300,769,212,38862,300,0
301,183,745,38886,301,0
302,985,187,38979,302,0
303,191,905,39106,303,0
304,183,233,39156,304,0
305,90,833,39437,305,0
306,90,959,39437,306,0
