,source,target,ts,idx,time
0,47,12,0,0,0
1,66,12,29340,1,0
2,74,145,40860,2,0
3,66,47,109020,3,1
4,47,49,881160,4,10
5,47,66,1302660,5,15
6,47,145,1302660,6,15
7,47,37,1897980,7,21
8,74,48,2962380,8,34
9,66,145,2966940,9,34
10,66,49,4848120,10,56
11,106,53,5029500,11,58
12,49,66,5703480,12,66
13,47,26,6739260,13,78
14,95,66,7286340,14,84
15,149,65,8380200,15,96
16,149,127,8380200,16,96
17,47,106,9159480,17,106
18,47,134,9791040,18,113
19,74,140,10391340,19,120
20,74,135,10476420,20,121
21,47,140,10827540,21,125
22,47,75,10827540,22,125
23,106,47,12827940,23,148
24,145,66,13324740,24,154
25,145,26,13324920,25,154
26,12,47,13413900,26,155
27,66,43,14455140,27,167
28,12,66,15121260,28,175
29,145,12,15212820,29,176
30,145,49,15212820,30,176
31,145,47,15212820,31,176
32,47,120,15832560,32,183
33,66,75,17361780,33,200
34,137,68,17487840,34,202
35,137,26,17487840,35,202
36,26,68,18235980,36,211
37,113,80,18412680,37,213
38,123,60,18677100,38,216
39,26,38,18743460,39,216
40,74,57,18834300,40,217
41,66,26,18847140,41,218
42,135,31,18914340,42,218
43,120,123,19031280,43,220
44,120,126,19031280,44,220
45,120,90,19031280,45,220
46,120,58,19031280,46,220
47,120,48,19031280,47,220
48,12,26,19292340,48,223
49,48,18,19354260,49,224
50,135,19,19372680,50,224
51,66,95,19381860,51,224
52,135,48,19457820,52,225
53,113,95,19525560,53,225
54,48,135,19868400,54,229
55,113,62,19875000,55,230
56,26,53,19882680,56,230
57,48,1,19889160,57,230
58,135,139,19892340,58,230
59,113,88,20137740,59,233
60,120,56,20148000,60,233
61,120,24,20150100,61,233
62,120,6,20150100,62,233
63,120,53,20150100,63,233
64,48,139,20572020,64,238
65,135,47,20642580,65,238
66,12,145,20653080,66,239
67,12,49,20653080,67,239
68,74,3,20757060,68,240
69,120,106,20848920,69,241
70,135,1,21165900,70,244
